EXERCICI_COMPTAB,AREA,SERVEI,PROGRAMA,CAPITOL,PARTIDA,DESCRIPCIO_PARTIDA,PRESSUPOST_DEFINITIU,LIQUIDACIO
2012,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,12   2011 01101   31000,INTERESSOS PRESTECS INTERIOR,4362920,
2012,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,12   2011 01101   31100,"DESPESES FORM., MODIF. I CANCE",50000,
2012,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,12   2011 01101   35200,INTERESSOS DE DEMORA,30000,
2012,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,12   2011 01101   35900,ALTRES DESPESES FINANCERES,3000,
2013,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,13   2011 01101   31000,INTERESSOS PRESTECS INTERIOR,2970590,
2013,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,13   2011 01101   31100,"DESPESES FORM., MODIF. I CANCE",100000,
2013,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,13   2011 01101   35200,INTERESSOS DE DEMORA,30000,
2013,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,13   2011 01101   35900,ALTRES DESPESES FINANCERES,8000,
2014,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,14   2011 01101   31000,INTERESSOS PRESTECS INTERIOR,3265097,
2014,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,14   2011 01101   31100,"DESPESES FORM., MODIF. I CANCE",200000,
2014,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,14   2011 01101   35200,INTERESSOS DE DEMORA,30000,
2014,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,14   2011 01101   35900,ALTRES DESPESES FINANCERES,8000,
2015,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,15   2011 01101   31000,INTERESSOS PRÉSTECS INTERIOR D,1512644,
2015,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,15   2011 01101   31100,DESP.FORMALIZ.MODIF.I CANC.PRÉ,60000,
2015,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,15   2011 01101   35200,INTERESSOS DE DEMORA DEUTE PÚB,480000,
2015,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,15   2011 01101   35900,ALTRES DESPESES FINANCERES DEU,10000,
2016,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,16   2011 01101   31000,INTERESSOS PRÉSTECS INTERIOR D,1033016.3,
2016,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,16   2011 01101   31100,DESP.FORMALIZ.MODIF.I CANC.PRÉ,237940.28,
2016,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,16   2011 01101   35200,INTERESSOS DE DEMORA DEUTE PÚB,480000,
2016,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,16   2011 01101   35900,ALTRES DESPESES FINANCERES DEU,10000,
2017,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,17   2011 01101   31000,INTERESSOS PRÉSTECS INTERIOR D,1524600,
2017,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,17   2011 01101   31100,DESP.FORMALIZ.MODIF.I CANC.PRÉ,30000,
2017,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,17   2011 01101   35200,INTERESSOS DE DEMORA DEUTE PÚB,394400,
2017,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,17   2011 01101   35900,ALTRES DESPESES FINANCERES DEU,10000,
2018,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,18   2011 01101   31000,INTERESSOS PRÉSTECS INTERIOR D,1524600,
2018,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,18   2011 01101   31100,DESP.FORMALIZ.MODIF.I CANC.PRÉ,30000,
2018,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,18   2011 01101   35200,INTERESSOS DE DEMORA DEUTE PÚB,394400,
2018,,,0-DEUDA PUBLICA,3-DESPESES FINANCERES,18   2011 01101   35900,ALTRES DESPESES FINANCERES DEU,10000,
2012,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,12   2011 01101   91100,AMORTIT. PRESTEC A MIG/LLARG T,133525,
