"GRUP_PROGRAMA","GRUP_PROGRAMA_DESCRIPCIO"
"01101","DEUTE PUBLIC"
"13001","SERV. ADMINISTRATIUS, VIA PÚBLICA I POLICIA MPAL."
"13002",
"13201","POLICIA MUNICIPAL"
"13301","MANTENIMENT DE LA SENYALITZACIÓ"
"13302",
"13305",
"13306",
"13401","SERVEIS GENERALS MOBILITAT "
"13402","GESTIÓ I PLANIFICACIÓ DE LA MOBILITAT"
"13403","PLANIFICACIÓ DE LA MOBILITAT "
"13501","PROTECCIÓ CIVIL I PREVENCIÓ D'INCENDIS"
"15001","DESPESES GESTIÓ MANTENIMENT ESPAI PÚBLIC"
"15002","SERV. ADMINISTRATIUS URBANISME"
"15099",
"15100",
"15101","OBRA PÚBLICA"
"15102","DIRECCIÓ D'OBRES "
"15103","ASSISTÈNCIA TÈCNICA "
"15105","GESTIÓ DEL SÒL"
"15106","PATRIMONI MUNICIPAL DEL SÒL I L'HABITATGE "
"15107","SERVEI JURÍDIC"
"15108","PROTECCIÓ DE LA LEGALITAT URBANÍSTICA "
"15109","LLICÈNCIES I PROTEC. DE LA LEGALITAT"
"15110","PLANEJAMENT URBANÍSTIC"
"15111","ADMINISTRACIÓ URBANISME "
"15112","INFORMACIÓ URBANÍSTICA "
"15199",
"15201",
"15202",
"15211","HABITATGE "
"15221","VIVENDA "
"15222","AJUTS A LA REHABILITACIÓ PLA DE BARRIS MAURINA"
"15223","ADEQUACIÓ INSTAL·LACIONS PB MAURINA"
"15301","DESPESES DE GESTIÓ "
"15302","MANTENIMENT VIA PÚBLICA "
"15321","PAVIMENTACIÓ I MANT.INFRAESTRURES URBANES"
"15322",
"15323","ACCESSIBILITAT"
"15501",
"15502",
"15600",
"15601",
"15602",
"15603",
"15604",
"15605",
"15606",
"15607",
"15608",
"15609",
"15610",
"15611",
"15612",
"15613",
"15614",
"15615",
"15616",
"15617",
"15618",
"15619",
"15620",
"15700",
"15701",
"15702",
"15703",
"15704",
"15705",
"15706",
"15707",
"15708",
"15711",
"15713",
"15714",
"16001","GESTIÓ XARXA I CLAVEGUERAM"
"16002","CICLE DE L'AIGUA"
"16101",
"16102",
"16200",
"16201",
"16202",
"16211","RECOLLIDA DE RESIDUS"
"16222","GESTIÓ DE RESIDUS"
"16231",
"16300",
"16301","NETEJA VIÀRIA"
"16501","ENLLUMENAT PÚBLIC"
"17001","SERVEIS GENERALS MEDI AMBIENT"
"17002",
"17003",
"17004",
"17101","PARCS I JARDINS"
"17102","GESTIÓ PARC VALLPARADÍS "
"17103",
"17104",
"17105",
"17201","MEDI NATURAL "
"17202","INFORMACIÓ I EDUCACIÓ AMBIENTAL "
"17203",
"17211","QUALITAT AMBIENTAL"
"17212","MEDI NATURAL"
"17213","INFORMACIÓ I EDUCACIÓ AMBIENTAL"
"23001",
"23100",
"23101","EAIA"
"23102","SERVEI BÀSIC D'ATENCIÓ SOCIAL"
"23103","PROJECTES DE SUPORT ALS SERVEIS SOCIALS BASICS"
"23104","SERVEI D'ATENCIÓ DOMICILIARIA"
"23105","MANTENIMENT INFRAESTRUCTURA"
